ID,var_rpta_alt,Prob_uno
309602#28919#752322,0,0.05
246252#641802#438540,1,0.99
569401#376139#703712,0,0.0
538878#498846#581496,0,0.1
55073#828616#251726,1,1.0
577368#653582#426760,1,0.99
86885#186090#902060,0,0.13
159583#586564#493778,0,0.14
314476#1009#1002142,0,0.02
558795#478325#602017,0,0.1
607577#75067#1029984,1,1.0
308543#1572#884371,0,0.21
410072#1007195#73147,0,0.75
2434#752605#327737,0,0.33
369122#1048506#31836,0,0.21
97868#478313#602029,0,0.26
24118#327451#755677,0,0.07
488683#178847#909276,0,0.07
312578#680295#400047,1,0.95
603538#350696#730071,1,0.89
574065#765439#314903,0,0.05
137900#619728#460614,0,0.35
37742#1011982#68360,0,0.03
603173#860426#219916,1,1.0
275357#1003032#77310,1,0.57
483192#544400#535942,0,0.05
516641#795163#285179,1,0.25
564312#486120#594222,1,0.98
50297#490555#589787,0,0.01
40285#825845#254497,1,1.0
567598#998#1080285,0,0.22
362217#702736#377606,0,0.19
574228#45703#1059128,0,0.04
57606#1056485#23857,1,0.06
359907#408716#671203,0,0.28
600310#386224#693626,0,0.07
122535#832544#247798,1,0.64
120530#949014#131328,1,0.99
67854#261882#821103,1,0.92
390683#952629#127713,1,0.65
604013#680938#399404,1,0.26
194465#396920#682984,1,0.98
358942#266466#816536,0,0.04
68239#572949#507393,1,0.9
352893#336194#744392,0,0.4
284276#672308#408034,0,0.05
370444#668998#411344,1,0.23
1858#1870#1004751,0,0.13
179210#889521#190821,0,0.22
566134#649591#430751,0,0.22
241196#673499#406843,1,1.0
556386#893605#186737,0,0.1
68092#503231#577111,0,0.18
339436#393735#686172,1,0.97
262736#698555#381787,0,0.28
123831#335461#745123,0,0.07
75605#829449#250893,0,0.06
266#151240#936856,0,0.09
144030#862030#218312,0,0.09
300237#566239#514103,1,0.95
726#115844#971975,0,0.3
88321#165437#922681,1,0.94
308491#29261#728205,0,0.0
25092#755118#325224,0,0.13
341319#857962#222380,0,0.22
208206#418766#661229,0,0.16
597279#739368#340974,1,0.98
263097#495086#585256,0,0.06
114454#179315#908809,1,0.11
90546#325237#757892,0,0.07
421020#1012821#67521,0,0.31
564841#41211#1063891,1,0.97
250624#943905#136437,1,0.99
567207#225172#865228,0,0.13
191142#339445#741198,0,0.3
569072#116227#971591,0,0.08
515561#784666#295676,1,0.98
81780#890283#190059,0,0.03
209171#464570#615772,1,0.16
397466#1046556#33786,1,0.41
482832#534556#545786,0,0.1
417658#513608#566734,0,0.04
613870#830123#250219,1,1.0
313259#21677#885124,0,0.02
313401#15541#1004837,0,0.07
305825#30123#1010159,0,0.09
